image_index,category,img_url,year,decade,num_persons,gender,age,body display
2752,science,https://api.time.com/wp-content/uploads/2014/11/155042.jpg,1923,1920s,1,male,Young Adult,portrait
2753,science,https://api.time.com/wp-content/uploads/2014/11/155085-e1418235916656.jpg,1924,1920s,1,male,Senior,portrait
2754,science,https://api.time.com/wp-content/uploads/2014/11/1550115.jpg,1925,1920s,1,male,Senior,portrait
2755,science,https://api.time.com/wp-content/uploads/2014/11/1550116.jpg,1925,1920s,1,male,Young Adult,portrait
2756,science,https://api.time.com/wp-content/uploads/2014/11/1550119-e1563989647140.jpg,1925,1920s,1,male,Middle-Aged,portrait
2757,science,https://api.time.com/wp-content/uploads/2014/11/1550154-e1432753256203.jpg,1926,1920s,1,female,Senior,full body
2758,science,https://api.time.com/wp-content/uploads/2014/11/1550207.jpg,1927,1920s,1,male,Young Adult,portrait
2759,science,https://api.time.com/wp-content/uploads/2014/11/1550214.jpg,1927,1920s,1,male,Young Adult,portrait
2760,science,https://api.time.com/wp-content/uploads/2014/11/1550248-e1418164485674.jpg,1928,1920s,1,male,Young Adult,portrait
2762,science,https://api.time.com/wp-content/uploads/2014/11/1550259-e1430862336461.jpg,1928,1920s,1,male,Senior,portrait
2763,science,https://api.time.com/wp-content/uploads/2014/11/1550295-e1422654284572.jpg,1928,1920s,1,male,Middle-Aged,portrait
2764,science,https://api.time.com/wp-content/uploads/2014/11/1550298.jpg,1928,1920s,1,male,Senior,portrait
2765,science,https://api.time.com/wp-content/uploads/2014/11/1550302.jpg,1929,1920s,1,male,Young Adult,waist-up
2767,science,https://api.time.com/wp-content/uploads/2014/11/1550319.jpg,1929,1920s,1,male,Middle-Aged,portrait
2769,science,https://api.time.com/wp-content/uploads/2014/11/1550361.jpg,1930,1930s,1,male,Young Adult,waist-up
2772,science,https://api.time.com/wp-content/uploads/2014/11/1550571.jpg,1934,1930s,1,male,Senior,portrait
2774,science,https://api.time.com/wp-content/uploads/2014/11/1550679.jpg,1936,1930s,1,male,Senior,portrait
2775,science,https://api.time.com/wp-content/uploads/2014/11/1550688.jpg,1936,1930s,1,male,Young Adult,portrait
2776,science,https://api.time.com/wp-content/uploads/2014/11/1550721-e1430944933648.jpg,1937,1930s,1,male,Young Adult,waist-up
2777,science,https://api.time.com/wp-content/uploads/2014/11/1550722-e1426801554735.jpg,1937,1930s,1,male,Young Adult,waist-up
2778,science,https://api.time.com/wp-content/uploads/2014/11/1550769-e1415915919951.jpg,1938,1930s,1,male,Young Adult,waist-up
2779,science,https://api.time.com/wp-content/uploads/2014/11/1101380404_400.jpg,1938,1930s,1,male,Senior,waist-up
2780,science,https://api.time.com/wp-content/uploads/2014/11/1550782.jpg,1938,1930s,1,male,Young Adult,waist-up
2781,science,https://api.time.com/wp-content/uploads/2014/11/1550836-e1422654463146.jpg,1939,1930s,1,male,Young Adult,portrait
